,Level_1,Level_2,Level_3,Level_4,Level_5,MN2P2.1,MN2P2.2,MN2P2.3,MN2P2.4,N0P0.1,N0P0.2,N0P0.3,N0P0.4,N2P2.1,N2P2.2,N2P2.3,N2P2.4,RS.MN2P2.1,RS.MN2P2.2,RS.MN2P2.3,RS.MN2P2.4,RSN0P0.1,RSN0P0.2,RSN0P0.3,RSN0P0.4,RS.N2P2.1,RS.N2P2.2,RS.N2P2.3,RS.N2P2.4
kegg4240,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K02657 twitching motility two-component system response regulator PilG,K02657,3,2,3,3,3,1,2,4,2,1,1,2,5,3,5,4,1,3,1,2,4,4,5,4
kegg4241,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K02658 twitching motility two-component system response regulator PilH,K02658,1,4,4,6,3,4,4,5,4,3,3,3,7,7,7,7,4,3,3,4,5,5,6,6
kegg4242,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K02659 twitching motility protein PilI,K02659,2,2,2,2,2,1,1,1,3,1,2,2,2,3,3,5,1,2,1,2,2,5,3,3
kegg4243,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K02660 twitching motility protein PilJ,K02660,4,4,4,4,2,6,5,4,4,4,3,4,9,8,8,9,5,6,3,5,9,4,9,7
kegg4244,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K02667 two-component system, NtrC family, response regulator PilR",K02667,2,2,1,3,4,1,3,1,2,3,2,3,5,4,4,2,2,3,2,3,4,3,5,6
kegg4245,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K02668 two-component system, NtrC family, sensor histidine kinase PilS [EC:2.7.13.3]",K02668,2,3,3,2,5,3,2,1,3,2,2,2,6,3,2,5,2,2,3,3,3,2,5,3
kegg4246,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K03092 RNA polymerase sigma-54 factor,K03092,9,7,12,10,10,13,8,9,8,6,6,9,13,11,10,8,11,14,8,9,12,9,13,17
kegg4247,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K03367 D-alanine--poly(phosphoribitol) ligase subunit 1 [EC:6.1.1.13],K03367,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
kegg4248,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K03406 methyl-accepting chemotaxis protein,K03406,16,9,7,14,15,7,7,8,10,15,10,13,43,31,22,26,23,29,16,32,22,28,58,46
kegg4249,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K03407 two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]",K03407,4,10,9,9,6,2,5,8,5,6,8,7,18,7,14,14,7,7,4,10,14,12,12,18
kegg4250,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K03408 purine-binding chemotaxis protein CheW,K03408,3,2,3,4,5,3,3,3,3,4,2,2,11,7,8,10,6,6,3,7,7,8,16,11
kegg4251,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K03412 two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]",K03412,5,7,8,6,9,9,6,9,6,9,6,5,10,11,9,12,9,12,9,12,9,10,15,14
kegg4252,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K03413 two-component system, chemotaxis family, chemotaxis protein CheY",K03413,7,9,9,16,8,9,6,7,10,9,12,11,18,12,10,13,12,11,11,16,13,16,18,20
kegg4253,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K03415 two-component system, chemotaxis family, chemotaxis protein CheV",K03415,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1
kegg4254,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K03563 carbon storage regulator,K03563,2,1,4,5,3,2,1,4,3,3,3,4,1,3,5,3,1,2,1,1,3,1,1,2
kegg4255,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K03620 Ni/Fe-hydrogenase 1 B-type cytochrome subunit,K03620,2,0,1,0,2,0,1,2,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1
kegg4256,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K03740 D-alanine transfer protein,K03740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kegg4257,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K04751 nitrogen regulatory protein P-II 1,K04751,9,16,18,14,10,10,4,13,9,11,11,10,12,14,16,8,8,11,14,10,15,12,17,13
kegg4258,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K04771 serine protease Do [EC:3.4.21.107],K04771,50,43,49,56,57,50,57,53,34,40,45,39,42,52,55,54,36,46,39,48,47,47,47,49
kegg4259,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K05597 glutamin-(asparagin-)ase [EC:3.5.1.38],K05597,1,0,1,1,1,1,0,0,1,0,0,1,1,2,0,1,1,1,0,0,0,1,1,2
kegg4260,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K05874 methyl-accepting chemotaxis protein I, serine sensor receptor",K05874,2,1,0,1,0,0,0,0,0,0,0,1,18,17,1,17,2,10,1,8,4,11,20,18
kegg4261,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K05875 methyl-accepting chemotaxis protein II, aspartate sensor receptor",K05875,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
kegg4262,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K05966 triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52],K05966,1,0,0,1,0,2,5,2,1,2,0,1,0,1,0,0,1,0,2,0,1,1,1,1
kegg4263,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K06281 hydrogenase large subunit [EC:1.12.99.6],K06281,5,3,5,4,3,5,2,4,3,4,3,4,1,3,1,2,3,4,3,3,3,4,2,2
kegg4264,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K06282 hydrogenase small subunit [EC:1.12.99.6],K06282,1,1,2,3,1,5,2,1,3,2,3,2,0,1,0,3,1,2,4,2,1,2,1,2
kegg4265,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K06596 chemosensory pili system protein ChpA (sensor histidine kinase/response regulator),K06596,7,5,8,3,9,6,9,4,5,8,5,5,9,7,16,10,5,10,4,6,8,8,12,8
kegg4266,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K06597 chemosensory pili system protein ChpB (putative protein-glutamate methylesterase),K06597,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
kegg4267,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K06598 chemosensory pili system protein ChpC,K06598,0,1,0,1,0,0,0,0,1,1,0,0,2,1,1,1,1,1,0,0,1,0,0,1
kegg4268,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K07165 transmembrane sensor,K07165,1,1,0,4,1,4,1,1,1,2,1,2,17,8,7,10,151,5,3,29,12,5,11,10
kegg4269,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K07260 zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14],K07260,1,2,2,2,2,1,2,2,3,1,2,1,4,3,2,1,4,1,1,1,1,2,1,2
kegg4270,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07636 two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]",K07636,10,12,10,12,11,9,13,12,8,11,11,9,13,12,13,15,15,8,10,10,14,10,16,13
kegg4271,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07637 two-component system, OmpR family, sensor histidine kinase PhoQ [EC:2.7.13.3]",K07637,1,1,0,1,0,1,0,0,1,1,1,1,2,0,2,3,1,1,0,2,1,1,1,1
kegg4272,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07638 two-component system, OmpR family, osmolarity sensor histidine kinase EnvZ [EC:2.7.13.3]",K07638,3,2,3,5,3,5,2,3,1,3,4,4,4,6,2,6,5,3,5,4,3,5,6,5
kegg4273,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07639 two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]",K07639,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,1,1,1,1,0
kegg4274,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07641 two-component system, OmpR family, sensor histidine kinase CreC [EC:2.7.13.3]",K07641,1,0,0,0,0,0,0,0,1,0,1,1,4,3,2,1,2,1,0,3,2,2,4,5
kegg4275,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07642 two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3]",K07642,2,2,1,2,2,3,4,1,2,4,3,3,1,3,2,1,1,1,3,5,1,2,2,1
kegg4276,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07644 two-component system, OmpR family, heavy metal sensor histidine kinase CusS [EC:2.7.13.3]",K07644,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,2,0
kegg4277,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07645 two-component system, OmpR family, sensor histidine kinase QseC [EC:2.7.13.3]",K07645,1,1,3,1,1,0,1,1,2,1,1,0,1,2,3,3,2,3,1,0,1,1,6,2
kegg4278,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07646 two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]",K07646,11,12,13,20,28,13,15,14,13,14,12,15,20,17,15,19,17,19,17,18,18,13,18,17
kegg4279,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07649 two-component system, OmpR family, sensor histidine kinase TctE [EC:2.7.13.3]",K07649,3,3,4,3,3,4,5,2,3,2,3,3,11,10,6,9,9,9,9,9,4,7,14,11
kegg4280,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07651 two-component system, OmpR family, sensor histidine kinase ResE [EC:2.7.13.3]",K07651,1,1,2,0,1,1,0,1,2,0,0,1,0,1,0,0,1,1,0,1,1,2,1,1
kegg4281,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07652 two-component system, OmpR family, sensor histidine kinase VicK [EC:2.7.13.3]",K07652,25,19,28,27,14,16,12,16,16,21,17,17,10,12,13,20,8,14,20,12,11,22,16,14
kegg4282,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07653 two-component system, OmpR family, sensor histidine kinase MprB [EC:2.7.13.3]",K07653,4,2,3,3,2,1,1,1,3,2,2,1,1,1,0,1,1,2,2,1,1,0,1,1
kegg4283,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07654 two-component system, OmpR family, sensor histidine kinase MtrB [EC:2.7.13.3]",K07654,3,3,5,5,4,6,5,4,2,4,6,6,3,2,5,2,6,3,3,2,5,3,4,2
kegg4284,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07655 two-component system, OmpR family, sensor histidine kinase PrrB [EC:2.7.13.3]",K07655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kegg4285,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07657 two-component system, OmpR family, phosphate regulon response regulator PhoB",K07657,9,7,6,10,7,14,7,3,6,10,9,8,14,10,11,13,7,8,6,7,8,6,6,10
kegg4286,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07658 two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP",K07658,8,5,9,8,3,8,6,6,6,7,10,6,7,5,7,7,6,5,8,7,7,6,5,5
kegg4287,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07659 two-component system, OmpR family, phosphate regulon response regulator OmpR",K07659,5,5,5,4,5,5,1,5,3,4,5,3,4,8,5,5,4,7,5,5,5,6,5,5
kegg4288,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07660 two-component system, OmpR family, response regulator PhoP",K07660,0,2,1,1,0,1,0,0,1,1,1,1,1,1,1,1,3,1,0,3,2,0,0,1
kegg4289,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07661 two-component system, OmpR family, response regulator RstA",K07661,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1
kegg4290,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07662 two-component system, OmpR family, response regulator CpxR",K07662,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,0,0,0,1,1
kegg4291,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07663 two-component system, OmpR family, catabolic regulation response regulator CreB",K07663,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,1,0,2,2,3
kegg4292,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07664 two-component system, OmpR family, response regulator BaeR",K07664,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0
kegg4293,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07665 two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR",K07665,2,2,4,2,2,6,5,2,6,3,4,5,3,3,2,2,6,3,0,4,5,4,2,2
kegg4294,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07666 two-component system, OmpR family, response regulator QseB",K07666,3,4,7,6,2,3,4,4,2,4,4,4,5,5,3,6,7,7,5,3,3,3,10,6
kegg4295,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07667 two-component system, OmpR family, KDP operon response regulator KdpE",K07667,14,11,13,12,5,9,8,8,9,10,13,11,13,13,7,8,8,9,14,9,12,10,10,8
kegg4296,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07668 two-component system, OmpR family, response regulator VicR",K07668,1,1,1,0,1,1,2,3,1,1,1,2,0,1,0,0,0,1,1,1,0,0,0,0
kegg4297,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07669 two-component system, OmpR family, response regulator MprA",K07669,6,4,2,4,6,7,5,7,9,4,3,4,2,3,1,3,4,4,4,3,1,3,1,2
kegg4298,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07670 two-component system, OmpR family, response regulator MtrA",K07670,5,5,3,3,2,4,4,5,1,4,5,2,2,3,1,1,4,1,2,1,3,2,0,2
kegg4299,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07671 two-component system, OmpR family, response regulator PrrA",K07671,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0
kegg4300,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07672 two-component system, OmpR family, response regulator TrcR",K07672,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,1,0,0
kegg4301,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07673 two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX [EC:2.7.13.3]",K07673,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,1,0,1,1,0,1,2
kegg4302,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07675 two-component system, NarL family, sensor histidine kinase UhpB [EC:2.7.13.3]",K07675,5,8,4,7,4,7,9,8,10,8,9,8,5,7,9,6,8,7,7,5,9,9,7,5
kegg4303,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07677 two-component system, NarL family, capsular synthesis sensor histidine kinase RcsC [EC:2.7.13.3]",K07677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
kegg4304,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07678 two-component system, NarL family, sensor histidine kinase BarA [EC:2.7.13.3]",K07678,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,2
kegg4305,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07679 two-component system, NarL family, sensor histidine kinase EvgS [EC:2.7.13.3]",K07679,1,1,1,1,0,0,1,0,1,1,1,1,1,1,2,1,5,2,0,1,1,2,2,1
kegg4306,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07684 two-component system, NarL family, nitrate/nitrite response regulator NarL",K07684,7,10,7,11,5,12,10,10,9,8,9,6,7,8,8,9,13,7,10,9,8,13,10,7
kegg4307,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07687 two-component system, NarL family, captular synthesis response regulator RcsB",K07687,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0
kegg4308,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07689 two-component system, NarL family, invasion response regulator UvrY",K07689,5,6,2,7,11,4,3,6,5,9,8,4,8,7,5,9,15,9,11,11,6,7,12,11
kegg4309,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07690 two-component system, NarL family, response regulator EvgA",K07690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg4310,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07692 two-component system, NarL family, response regulator DegU",K07692,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1
kegg4311,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07693 two-component system, NarL family, response regulator DesR",K07693,2,1,1,1,1,1,0,2,1,0,0,2,1,1,1,1,4,2,2,3,3,1,0,1
kegg4312,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07695 two-component system, NarL family, response regulator DevR",K07695,3,5,3,2,3,2,1,3,4,3,4,4,2,3,3,2,4,4,1,2,2,3,3,4
kegg4313,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07696 two-component system, NarL family, response regulator NreC",K07696,2,2,2,3,3,1,4,4,2,3,3,3,1,1,2,3,3,1,1,0,1,1,1,1
kegg4314,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07698 two-component system, sporulation sensor kinase C [EC:2.7.13.3]",K07698,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0
kegg4315,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07705 two-component system, LytTR family, response regulator LytT",K07705,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,9,1,1,7,3,1,2,2
kegg4316,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07708 two-component system, NtrC family, nitrogen regulation sensor histidine kinase GlnL [EC:2.7.13.3]",K07708,3,3,4,5,2,4,6,4,4,4,2,4,6,5,5,5,4,6,3,4,5,6,7,5
kegg4317,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07709 two-component system, NtrC family, sensor histidine kinase HydH [EC:2.7.13.3]",K07709,2,1,3,3,4,3,3,3,2,3,1,3,1,3,5,3,1,2,3,3,4,3,3,2
kegg4318,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07710 two-component system, NtrC family, sensor histidine kinase AtoS [EC:2.7.13.3]",K07710,1,0,0,1,1,0,0,1,1,2,0,1,1,0,0,1,0,0,0,1,1,1,0,0
kegg4319,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07711 two-component system, NtrC family, sensor histidine kinase GlrK [EC:2.7.13.3]",K07711,1,1,2,1,2,2,2,2,1,2,1,2,2,3,4,3,2,2,2,3,1,2,3,3
kegg4320,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07712 two-component system, NtrC family, nitrogen regulation response regulator GlnG",K07712,2,5,3,3,4,4,3,2,5,4,3,4,8,5,8,6,5,6,6,7,4,5,9,7
kegg4321,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07713 two-component system, NtrC family, response regulator HydG",K07713,5,6,9,5,10,8,7,9,6,8,6,5,11,7,9,9,6,6,5,7,4,7,8,5
kegg4322,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07714 two-component system, NtrC family, response regulator AtoC",K07714,17,14,20,20,25,18,15,17,17,15,14,13,14,15,25,17,11,12,10,11,15,16,14,12
kegg4323,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07715 two-component system, NtrC family, response regulator GlrR",K07715,2,3,5,2,5,2,2,4,3,2,3,2,7,7,5,2,1,2,3,2,1,2,3,2
kegg4324,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07716 two-component system, cell cycle sensor histidine kinase PleC [EC:2.7.13.3]",K07716,6,8,8,11,8,6,4,7,6,5,5,8,10,4,10,9,10,10,9,7,8,7,7,6
kegg4325,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07768 two-component system, OmpR family, sensor histidine kinase SenX3 [EC:2.7.13.3]",K07768,2,2,1,1,2,1,2,1,3,2,1,1,2,1,1,1,4,2,2,3,1,1,2,1
kegg4326,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07774 two-component system, OmpR family, response regulator TctD",K07774,1,1,0,1,0,0,0,0,1,1,0,1,4,2,2,5,6,5,1,3,1,3,4,5
kegg4327,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07775 two-component system, OmpR family, response regulator ResD",K07775,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
kegg4328,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07776 two-component system, OmpR family, response regulator RegX3",K07776,5,5,7,7,4,5,4,6,5,8,5,4,4,3,5,1,6,5,3,5,6,3,2,3
kegg4329,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07777 two-component system, NarL family, sensor histidine kinase DegS [EC:2.7.13.3]",K07777,2,1,3,1,1,2,3,2,2,2,1,2,0,1,2,1,0,1,0,1,0,1,0,1
kegg4330,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07778 two-component system, NarL family, sensor histidine kinase DesK [EC:2.7.13.3]",K07778,3,2,3,2,2,1,2,3,2,1,1,2,2,2,3,1,4,3,1,2,2,2,2,1
kegg4331,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07782 LuxR family transcriptional regulator, quorum-sensing system regulator SdiA",K07782,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,1,2,1,1,2
kegg4332,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K07787 copper/silver efflux system protein,K07787,8,10,8,12,12,11,13,13,8,9,11,12,16,16,12,16,12,15,16,11,13,11,14,15
kegg4333,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K07788 multidrug efflux pump,K07788,3,2,3,2,2,3,5,6,2,3,4,3,4,5,5,4,3,5,3,5,3,5,7,3
kegg4334,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K07789 multidrug efflux pump,K07789,5,3,6,2,3,5,4,4,2,3,4,4,4,3,2,5,5,6,4,3,5,5,6,7
kegg4335,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K07792 anaerobic C4-dicarboxylate transporter DcuB,K07792,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0
kegg4336,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K07793 putative tricarboxylic transport membrane protein,K07793,44,31,48,39,38,42,42,44,39,33,33,41,34,32,40,46,31,43,35,28,39,32,34,28
kegg4337,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K07794 putative tricarboxylic transport membrane protein,K07794,14,11,15,14,11,19,13,16,14,10,13,12,11,11,19,12,11,14,13,14,14,12,12,13
kegg4338,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K07795 putative tricarboxylic transport membrane protein,K07795,20,18,24,21,21,26,20,24,18,18,18,17,11,11,22,15,16,25,17,21,15,17,14,20
kegg4339,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07798 membrane fusion protein, copper/silver efflux system",K07798,9,5,2,5,6,5,7,4,3,4,2,4,4,5,4,8,8,6,7,8,4,6,7,7
kegg4340,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K07799 membrane fusion protein, multidrug efflux system",K07799,3,4,4,4,2,4,4,5,3,3,4,4,2,4,4,4,3,6,4,5,3,4,7,7
kegg4341,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K07806 UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase [EC:2.6.1.87],K07806,1,1,1,1,0,1,1,0,2,1,2,0,2,1,0,1,0,2,1,0,0,2,0,1
kegg4342,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K07810 Cu(I)/Ag(I) efflux system periplasmic protein CusF,K07810,0,1,0,1,1,1,0,1,1,3,1,1,0,0,0,1,1,2,0,1,2,0,0,2
kegg4343,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K08082 two-component system, LytTR family, sensor histidine kinase AlgZ [EC:2.7.13.3]",K08082,1,1,0,1,0,0,0,1,1,1,1,1,3,3,3,3,4,1,0,2,3,1,5,3
kegg4344,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K08083 two-component system, LytTR family, response regulator AlgR",K08083,0,0,1,1,0,0,1,0,1,1,0,0,2,3,2,1,2,1,1,1,2,2,2,3
kegg4345,Environmental Information Processing,Signal transduction,ko02020 Two-component system,"K08348 formate dehydrogenase-N, alpha subunit [EC:1.17.5.3]",K08348,1,1,1,1,0,1,1,2,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0
kegg4346,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K08357 tetrathionate reductase subunit A,K08357,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
kegg4347,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K08372 putative serine protease PepD [EC:3.4.21.-],K08372,1,7,2,3,3,2,1,3,4,3,8,3,2,2,2,1,5,0,1,2,3,3,3,4
kegg4348,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K08478 phosphoglycerate transport regulatory protein PgtC,K08478,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0
kegg4349,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K08641 zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22],K08641,1,1,1,0,2,3,1,1,1,2,0,1,1,2,1,3,5,2,1,3,2,1,3,0
kegg4350,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K08738 cytochrome c,K08738,18,15,22,17,5,13,13,13,15,18,20,19,17,15,15,20,20,13,10,15,17,16,20,20
kegg4351,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K09474 acid phosphatase (class A) [EC:3.1.3.2],K09474,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,1,1,1,1,2
kegg4352,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K09696 sodium transport system permease protein,K09696,1,0,0,1,0,0,1,0,1,1,1,0,4,2,0,3,0,1,1,1,1,3,2,2
kegg4353,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K09697 sodium transport system ATP-binding protein [EC:7.2.2.4],K09697,1,1,2,1,0,0,0,0,0,1,1,1,4,3,2,2,2,2,1,1,1,1,2,1
kegg4354,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K10001 glutamate/aspartate transport system substrate-binding protein,K10001,3,1,1,1,1,2,3,1,2,2,2,1,2,4,4,5,6,6,3,4,2,4,9,5
kegg4355,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K10002 glutamate/aspartate transport system permease protein,K10002,1,1,0,0,0,1,0,1,1,0,1,1,1,3,1,1,2,2,0,1,1,1,3,1
kegg4356,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K10003 glutamate/aspartate transport system permease protein,K10003,0,0,0,0,0,1,0,1,1,0,1,0,0,3,1,1,2,2,1,2,1,2,6,1
kegg4357,Environmental Information Processing,Signal transduction,ko02020 Two-component system,K10004 glutamate/aspartate transport system ATP-binding protein [EC:7.4.2.1],K10004,1,1,0,1,1,1,0,1,1,0,0,2,1,2,2,3,3,0,0,1,1,3,4,1
